DATAFLOW,LAST UPDATE,freq,indic_is,ind_type,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,DK,2016,71.12,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,DK,2017,68.82,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,DK,2018,73.04,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,DK,2019,73.89,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EA,2010,30.47,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EA,2011,32.83,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EA,2012,34.67,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EA,2013,37.43,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EA,2014,40.16,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EA,2015,42.48,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EA,2016,44.39,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EA,2017,47.54,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EA,2018,49.44,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EA,2019,52.33,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EE,2010,13.26,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EE,2011,15.56,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EE,2012,16.64,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EE,2013,16.31,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EE,2014,36.93,b
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EE,2015,45.84,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EE,2016,45.03,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EE,2017,46.15,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EE,2018,50.60,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EE,2019,56.30,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EL,2010,8.74,
ESTAT:ISOC_EC_IBUY$DEFAULTVIEW(1.0),07/03/23 11:00:00,A,I_BUY3,IND_TOTAL,PC_IND,EL,2011,13.03,
